@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R7,9,14,38,44-50,78,93,96,99-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-2,5-9,11-12,14,16,18-24,26-34,36,38-39,41-56,60-62,64-65,67-86'

@attribute pctBlack numeric
@attribute pctWhite numeric
@attribute medIncome numeric
@attribute pctWdiv numeric
@attribute pctPubAsst numeric
@attribute medFamIncome numeric
@attribute persPoverty numeric
@attribute pctMaleDivorc numeric
@attribute pctFemDivorc numeric
@attribute pctKidsBornNevrMarr numeric
@attribute pctPersOwnOccup numeric
@attribute pctPopDenseHous numeric
@attribute pctSmallHousUnits numeric
@attribute pctHousOwnerOccup numeric
@attribute pctHousWOphone numeric
@attribute Class {0,1}

@data
4.98,86.17,25983,42.89,8.55,31972,12999,10.68,13.27,6.05,61.46,2.98,47.4,56.65,3.54,0
12.06,86.84,21040,39.44,12.68,26238,4201,10.86,14.04,3.85,60.95,1.3,45.98,59.26,7.78,0
0.79,88.23,58995,64.87,0.97,62513,733,3.52,5.49,0.77,91.16,1.32,14.06,91.08,0.26,0
7.3,64.62,35788,26.04,9.73,38135,17853,9.68,14.44,5.3,57.91,16.44,50.67,58.59,5.37,0
7.39,70.79,34801,35.13,8.89,40054,26280,9.97,14.76,3.98,58.86,10.82,47.14,56.27,3.63,0
5.33,78.85,41965,42.31,6.86,50040,4878,9.76,14.52,2.4,63.96,6.44,46.8,60.34,2.15,0
6.43,80.74,43946,71.66,6.38,50098,15614,12.91,16.43,3.32,55.96,4.89,47.7,52.81,3.4,0
34.26,65.09,19433,31.57,8.88,25523,4922,10.91,14.14,7.89,52.36,3.97,57.54,52.26,11.53,0
33.04,64.94,35516,41.03,6.75,41012,3966,13.43,17.38,9.73,49.08,3.16,50.26,47.76,4.62,0
44.33,54.5,19099,27.94,10.83,26067,6387,12.62,15.82,6.83,61.06,2.87,46.68,60.43,9.26,0
3.8,95.48,18683,27.23,12.14,22848,4796,15.53,18.69,5.76,48.89,5.74,66.9,45.32,12.17,0
11.75,77.39,20463,32.53,9.21,25812,4906,13.14,15.78,3.69,65.27,2.87,48.02,66.56,10.74,0
29.71,68.79,21078,31.43,10.51,27045,5347,12.5,15.58,6.34,53.09,2.84,54.74,51.38,11.16,0
59.39,35.42,20754,25.92,14.95,25366,3889,15.71,18.22,21.31,28.17,9.95,74.6,23.05,9.69,0
13.09,85.19,24294,36.38,6.27,30781,2011,11.25,15.57,4.44,59.44,2.16,56.24,57.62,6.75,0
19.81,79.09,22267,36.64,7.92,28629,9442,12.78,15.54,4.71,60.24,1.56,52.43,56.64,4.94,0
0.5,95.98,23579,52.55,4.78,32188,2640,11.46,17.16,1.66,56.82,1.88,56.37,51.58,4.35,0
21.46,77.22,24986,35.62,10.18,29773,5001,12.35,14.82,5.34,61.56,5.08,45.87,59.28,9.9,0
1.12,96.59,26576,42.74,9.55,34837,8783,11.75,14.88,4.91,48.55,1.35,59.25,42.13,4.49,0
1.37,92.35,30007,37.01,8.49,35198,3498,14.78,19.63,2.98,50.8,4.24,60.13,48.78,4.46,0
0.79,96.25,25168,51.01,6.39,31773,6325,8.17,10.11,1.67,60.88,1.46,46.98,56.98,2.57,0
65.84,29.6,30727,34.26,8.94,36256,96278,13.67,16.18,18.2,42.91,8.25,67.33,38.9,4.22,0
11.43,82.41,33214,42.32,3.89,38614,16288,12.6,17.52,3.14,62.93,2.91,51.55,58.69,2.78,0
12.43,70.56,25414,40.55,4.5,33481,80369,11.1,16.11,4.49,45.91,6.76,60.53,40.58,7.47,0
4.62,58.93,24292,20.69,16.57,26520,4493,11.36,14.09,5.48,62.03,17.88,49.96,60.91,14.52,0
46.98,52.39,18641,23.95,16.96,23338,2984,11.43,16.33,7.52,61.85,4.71,41.28,61.12,13.5,0
24.78,73.19,20429,29.6,14.24,25121,3515,11.31,16.08,7.61,51.23,4.96,48.61,49.49,15.46,0
9.34,82.13,28734,19.47,6.28,29883,2338,13.36,17.64,2.38,59.2,9.98,42.73,58.71,9.86,0
29.12,67.89,40579,52.96,3.71,49718,4371,9.2,12.43,1.71,64.85,2.34,53.15,53.92,0.66,0
9.5,69.05,22514,34.15,18.38,27171,3406,10.78,14.06,3.86,59.68,12,63.09,65.46,6.94,0
10.46,67.07,28289,26.16,12.8,31618,3032,12.45,16.41,3.2,53.65,9.85,51.1,52.92,10.08,0
29.48,68.08,25751,31.16,8.94,30456,2283,12.66,16.12,5.45,66.41,6.68,46.58,67.38,11.64,0
43.89,53.95,21898,33.86,9.88,29024,54669,10.33,14.14,9.92,56.7,5.33,52.58,52.83,5.96,0
16.54,80.74,25306,37.65,14.23,31115,9643,13.48,17.82,5.83,66.12,2.19,48.68,62.89,6.92,0
12.02,72.97,30151,34.48,6.22,33891,10148,11.16,14.39,2.74,58.18,9.25,51.46,56.69,10.04,0
41.26,54.97,24495,34.87,9.41,31147,23494,12.36,16.08,5.03,62.15,4.55,49.86,60.01,8.1,0
14.49,82.31,26394,36.1,5.47,35633,6525,8.6,12.4,5.68,52.6,2.5,53.5,47.57,5.05,0
0.79,93.76,24714,49.07,6.3,33705,8033,10.27,13.49,2.3,55.2,2.78,58.52,50.94,2.66,0
15.67,81.81,25859,38.74,15.04,30957,5970,11.16,14.82,7.11,61.84,2.41,47.15,60.18,8.13,0
10.49,86.66,19950,37.17,14.25,26757,14308,10.18,12.34,6.19,52.86,1.66,43.58,48.88,10.38,0
16.01,60.64,25533,27.88,17.98,28843,36174,13.11,17.73,7.94,51.21,14.54,60.73,52.25,7.95,0
92.19,7.26,8866,5.81,44.82,10447,7370,16.82,20.16,27.35,37.77,8.63,54.96,36.87,23.88,0
49.59,49.62,24055,28.13,11.28,29489,8804,10.49,14.76,9.71,53.63,4.22,48.63,52.64,8.66,0
58.37,41.41,16331,17.99,12.96,21013,9790,12.75,15.78,10.7,60.05,5.06,49.96,59.07,7.18,0
1.7,91.28,54348,55.83,3.47,83272,2105,8.33,15.23,1.04,54.32,3.27,61.04,43.85,0.4,0
59.87,39.16,22176,32.66,13.9,31318,2644,7.09,10.55,8.21,53.77,4.59,45.58,55.21,12.64,0
4.89,91.94,20891,43.07,10.55,29169,10291,11.37,13.93,3.48,48.99,1.37,53.42,44.42,7.18,0
63.27,35.96,19193,23.14,10.79,23892,64572,13.53,17.45,9.04,56.3,3.97,54.83,53.39,6.13,0
0.33,97.15,40404,40.45,3.65,41860,2031,8.94,11.75,1.71,91.59,2.46,29.9,90.16,0.52,0
5.75,74.14,35681,46.1,5.49,43260,3375,11.69,14.5,1.46,62.07,5.19,56.73,58.51,1.73,0
34.84,64.8,13863,20.72,17.64,18467,5186,12.22,15.55,6.93,64.57,3.94,47.65,65.92,12.25,0
18.06,79.32,25918,33.51,5.77,29709,8110,10.48,14.72,4.68,58.07,4.32,43.52,57.38,5.77,0
0.83,94.67,37159,52.06,2.5,46275,443,10.17,14.44,0.94,71.3,2.03,48.33,65.36,0.93,0
1.26,92.53,29407,58.22,2.79,46208,14393,8.48,13.02,1.83,50.35,2.29,55.41,46.15,1.64,0
58.98,40.54,17206,25.86,15.77,21280,6842,11.77,15.12,12.77,56.24,5.84,49.96,55.54,9.51,0
0.32,97.8,17985,35.85,12.54,24635,2500,10.06,13.96,2.77,61.09,2.33,57.43,55.38,6.43,0
2.48,72.5,22365,19.91,19.49,23896,4553,8.92,12.86,5.49,49.89,20.79,56.56,49.35,8.46,0
1.08,86.96,51253,49.51,3.54,58187,1160,8.96,12.71,1.23,68.99,5.15,45.05,63.51,1.28,0
23.44,72.2,21946,40.51,8.29,28932,1803,6.81,9.95,5.49,61.34,5.01,50.88,60.72,10.34,0
26.6,58.54,28704,32.76,13.24,33090,23463,10.69,14.3,12.01,45.05,6.74,65.45,44.15,8.66,0
3.66,94.66,38619,57.78,1.74,45938,513,8.98,12.32,1.12,76.54,1.07,36.36,72.46,0.52,0
5.57,73.69,19157,27.47,8.36,23440,2689,9.2,11.64,1.79,65.95,6.25,54.98,66.37,13.7,0
44.76,54.32,22079,30.42,10.96,26894,49215,12.47,16.58,10.19,61.96,5.1,46.25,60.5,6.45,0
0.39,70,18404,13.3,13.13,20386,6051,5.92,12.01,5.23,60.66,23.43,52.32,59.03,12.56,0
6.1,83.01,17826,31.22,11.52,22815,4106,10.33,13.8,2.45,64.59,4.78,54.22,64.15,12.69,0
43.48,55.19,21864,27.93,12.64,27231,8947,10.79,14.77,8.59,51.28,5.61,44.1,50.1,10.61,0
17.18,69.88,22577,39.49,6.14,29277,11887,8.97,13.32,4.45,51.58,7.14,54.68,48.26,8.37,0
2.54,70.89,41435,34.82,7.41,44208,5468,10.11,14.02,2.77,56.56,14.13,45.01,56.17,1.68,0
30.65,64.75,18482,32.46,18.69,23887,81601,11.35,14.3,10.52,47.48,2.14,45.13,43.14,9.08,0
1.64,95.09,37862,63.17,3.28,47077,1190,6.04,9.09,1.25,76.57,1.13,46.79,68.44,0.49,0
2.57,95.21,29961,39.41,11.9,35390,3929,11.54,14.36,2.03,78.48,2.29,44.04,76.08,4.1,0
13.81,67.45,42186,28.65,7.71,44100,9870,8.23,12.07,3.17,75.04,9.14,28.48,74.03,3.04,0
0.32,85.47,20831,35.41,7.49,25127,2833,10.6,14.95,1.65,63.29,7.07,51.58,61.78,8.41,0
2.26,92.27,21552,36.08,11.02,26927,7612,16.58,20.56,3.64,45.27,3.51,63.52,43.14,4.89,0
13.5,75.28,33140,52.67,6.43,39990,8794,7.59,11.31,5.54,33.22,4.15,72.41,30.35,1.53,0
51.31,46.85,22102,26.02,11.99,27076,29854,12.55,16.95,9.14,52.53,4.92,52.43,50.67,9.05,0
4.21,93.23,32659,31.61,11.19,36244,8325,10.82,14.91,3.36,70.31,3.17,39.81,67.75,2.6,0
18.21,80.67,19807,31.57,14.65,25177,17864,13.04,16.69,5.23,60.01,1.56,46.63,57.33,7.08,0
1.01,97.99,22191,35.73,9.69,28020,3099,14.01,17.17,2.97,57.17,2.69,60.08,51.73,6.17,0
16.71,78.47,19799,45.93,2.95,35632,3392,8.26,10.76,8.12,28.37,1.56,75.95,24.3,3.19,0
0.83,96.58,62021,69.94,1.83,66514,296,3.98,5.19,0.17,94.2,0.32,9.62,94.03,0.14,0
17.63,81.33,25384,34.75,9.73,31778,1745,11.83,14.14,3.99,60.22,2.9,45.56,57.5,10.71,0
5.16,76.11,25926,29.06,10.09,28639,3274,11.1,15.05,4.18,63.98,9.04,50.5,62.48,10.95,0
2.75,93.77,31231,35.77,4.08,34399,1173,12.72,17.3,1.03,65.77,2.82,40.51,64.82,1.81,0
12.24,84.18,40221,42.55,1.75,42843,866,7.37,10.74,3.11,81.79,2.85,19.75,80.61,3.16,0
0.47,96.41,21618,37.4,10.97,27514,1946,14.07,17.36,1.67,58.34,3.53,54.24,56.46,6.77,0
1.71,77.95,30876,25.65,15.11,33684,4007,9.64,14.35,2.19,64,10.72,41.58,64.76,1.08,0
7.44,42.35,59076,49.45,5.9,60689,2096,5.1,8.47,1.15,83.41,10.97,20.52,83.44,0.21,0
6.81,90.05,21522,35.6,17.03,26785,7286,12.52,17.05,5.27,57.04,2.17,53.31,54.51,8.59,0
14.25,84.1,23584,40.59,10.33,32972,10560,11.93,15.13,4.78,60.01,1.07,50.44,55.46,8.29,0
31.78,65.61,31873,37.52,5.19,38553,42312,11.21,15.05,6.75,58.65,3.33,48.98,54.98,4.28,0
18.93,79.72,22532,34.14,8.34,28544,4524,12.93,15.74,4.51,60.72,2.11,50.29,57.48,7.5,0
6.36,82.79,30141,39.91,6.21,33460,1103,18.11,20.19,2.95,44.26,4.31,71.75,39.32,2.68,0
40.35,52.26,17736,26.71,25.53,21900,21647,13.01,17.02,12.28,59.24,4.17,47.02,57.55,9.02,0
39.07,45.39,26301,33.16,14.36,30707,592298,11.03,14.73,12.08,45.76,8.78,63.87,41.48,7.82,0
9.84,85.65,28097,47.44,2.61,33004,727,10.38,16.14,0.93,66.2,1.62,35.19,68.5,2.48,0
7.72,91.25,22458,40.8,12.22,29499,4250,12.03,15.81,2.55,61.54,1.47,50.39,59.71,8.57,0
33.8,62.95,37911,43.53,6.19,45496,2125,9.63,12.75,4.75,73.62,3.57,44.09,68.08,2.95,0
12.97,79.55,30533,40.34,9.95,37942,12922,9.79,12.71,6.61,52.41,3.31,58.77,49.02,5.26,0
70.33,23.96,27301,25.84,11.73,32489,5261,12.6,16.62,12.66,34.25,8.77,72.92,28.14,7.31,0
3.72,95.24,25372,40.87,4.89,30792,1782,12.44,16.64,1.38,62.43,1.47,50.48,56.59,4.18,0
4.35,91.05,16600,26.22,22.96,20998,2595,16.84,18.56,2.34,62.24,6.51,78.1,65.59,10.41,0
8.97,89.13,26473,48.68,4.52,33434,10203,12.57,15.15,3.03,64.08,2.15,69.5,61.78,5.04,0
1.17,94.31,34372,40.93,5.74,41095,1661,11.57,12.21,1.06,71.4,2.83,46.05,67.27,3.51,0
46.56,49.49,17822,23.61,21.95,22448,142217,14.82,17.9,12.2,51.24,2.89,54.91,47.93,8.97,0
31,65.5,52442,54.17,3.42,65842,2223,8.2,12.41,4.1,64.67,2.05,45.86,55.85,1.02,0
74.45,21.07,22194,14.36,8.97,23768,4671,15.68,21.42,17.6,21.97,8.75,73.88,22.24,9.51,0
7.16,85.63,28539,44.79,5.45,33620,30995,11.2,15.71,2.29,58.29,2.92,46.72,54.72,4.06,0
6.38,91.63,28727,43.62,5.79,32917,1481,11.01,14.45,2.58,75.72,2.02,54.93,73.66,2.49,0
0.66,95.8,28950,39.43,4.01,33504,2505,11.52,14.74,0.95,67.61,3.19,49.87,60.97,3.32,0
43.69,53.67,23216,35.73,7.38,28488,16652,11.07,13.34,9.55,45.91,4.37,57.72,45.02,7.49,0
0.56,91.22,19474,28.95,20.02,22114,2436,12.78,19.16,3.38,50.99,6.61,59.28,50.21,4.53,0
1.2,95.64,30469,47.83,5.95,36688,1601,9.8,12.47,3.39,75.1,1.58,48.64,70.37,1.88,0
27.77,71.36,21754,23,7.4,27029,2010,13.47,16.61,4.73,49.09,2.82,59.01,49.59,9.31,0
15.19,82.53,32237,53.71,2.64,42431,764,9.7,11.97,2.66,67.96,0.8,58.06,58.54,1.61,0
0.78,38.93,27415,20.79,18.43,29331,2100,7.59,11.77,6.13,49.6,36.57,72.43,48.26,4.31,0
2.86,84.88,20427,21.32,14.47,24268,3766,15.07,18.71,4.59,57.72,7.91,53.73,58.9,9.68,0
2.36,84.03,41675,45.23,6.67,46847,7349,10.82,16.14,1.61,62.06,5.23,42.88,60.94,1.32,0
15.87,80.22,33863,42.47,2.73,40482,2004,13.34,17.61,2.83,46.77,2.02,66.44,43.09,2.78,0
13.4,74.46,23634,27.34,7.49,27245,5021,12.32,17.22,2.87,47.85,9.55,54.64,46.91,11.3,0
0.27,94.75,21579,37.59,8.69,26411,2582,13.4,16.96,1.1,58.24,3.25,52.9,57.47,5.88,0
1.6,87.04,51913,49.55,3.53,58760,3355,13.56,17.78,3.45,49.23,4.11,60.63,46.37,0.56,0
18.45,76.37,26540,43.85,11.71,31846,13136,10.6,14.33,7.24,62.2,3.23,47.58,59.62,5.27,0
4.8,76.14,25773,31.82,8.87,29855,50525,11.3,15.01,2.76,59.5,9.39,51.02,56.59,9.23,0
65.65,26.5,38463,30.78,9.13,42238,5604,10.45,14.86,12.27,54.49,10.44,49.08,50.98,7.43,0
2.39,71.27,23287,27.54,19.05,27897,5287,15.77,18.84,4.85,52.72,11.31,61.63,55.68,7.37,0
0.81,97.24,44688,56.48,1.47,51654,1033,9.14,14.03,0.67,76.59,1.32,50.05,74.01,0.82,0
21.18,76.65,20321,33.25,8.85,25000,2364,10.86,16.12,2.98,56.06,3.99,54.48,54.24,7.56,0
1.27,97.54,23156,35.86,7.18,31013,1871,10.14,15.22,2.51,64.37,1.29,55.14,60.02,7.25,0
8.46,40.89,22129,21.4,20.05,24040,10092,9.25,15.46,5.57,36.12,29.07,73.7,35.46,4.6,0
30.68,68.8,13804,22.48,18.71,17483,4746,9.7,14.48,8.09,58.99,6.27,46.61,60.67,13.3,0
23.14,67.6,17852,30.98,9.06,24058,27767,11.07,14.66,4.71,46.82,6.14,59.96,46.51,11.74,0
4.51,82.8,35997,48.27,4.76,51085,7979,13.78,18.43,3.53,34.14,5.38,81.69,27.51,1.36,0
10.65,83.43,24517,31.45,6.75,30812,3122,13.88,17.41,1.94,46.51,4.28,57.92,45.67,14.37,0
38.93,59.62,22446,31.78,8.39,28220,42838,11.13,15.49,7.64,61.3,3.91,42.61,58.07,6.34,0
7.89,89.13,26218,42.51,8,32611,14452,10.16,13.35,5.04,64.98,1.99,48.98,61.17,4.27,0
12.27,65.07,19970,31.01,12.37,24395,4946,9.9,13.52,3.26,58.86,11.12,56.46,58.69,16.98,0
2.15,97.31,19343,32.47,8.66,23860,3466,13.08,16.32,1.72,66.24,1.89,55.29,65.29,11.41,0
30.72,67.37,18631,35.07,7.76,24264,13026,13.27,16.2,7.96,49.1,4.17,70.06,46.85,11.11,0
40.43,58.37,19779,27.28,15.5,24819,46480,15.52,19.24,10.87,52.22,2.96,54.84,50.98,8.83,0
29.58,66.8,31741,37.73,6.18,39358,1534,12.29,16.34,9.52,65.94,8.67,53.15,60.86,2.76,0
1.11,69.63,41364,40.13,9.94,45007,8859,8.62,12.81,2.38,59.82,14.63,46.72,62.77,1.12,0
38.74,59.91,26803,43.49,7.1,34744,3004,13.3,17.13,8.94,56.55,3.22,58.15,52.66,4.57,0
16.68,81.57,26950,50.33,2.78,35318,4562,10.56,11.94,3.81,71.79,3.72,79.54,72.1,2.82,0
4.51,83.15,27538,41.98,6.46,34642,4991,14.15,17.94,3.37,57.97,7.37,67.07,58.87,3.03,0
2.35,24.26,21054,17.57,18.65,21787,5346,6.45,10.05,5.28,53.51,33.13,56.91,53.38,8.68,0
26.28,71.99,31146,54.61,4.44,36191,5307,10.13,12.17,5.48,68.88,5.26,72.68,70.3,4.25,0
1.82,85.35,15570,28.09,15.41,16994,3675,10.76,13.23,4.45,64.79,9.75,57.52,64.39,17.38,0
9.68,87.35,21949,30,8.09,27124,3261,12.37,14.47,1.18,67.44,2.77,51.97,67.39,9.2,0
12.84,72.11,25106,40.62,7.61,32038,78515,14.85,18.23,5.65,53.63,4.23,62.59,49.19,5.49,0
10.18,87.91,38250,38.61,4.49,43192,1234,8.93,10.39,2.15,82.15,1.8,34.86,77.8,0.96,0
7.11,89.25,26703,41.51,7.15,32772,24137,11.82,14.8,3.59,66.81,2.66,56.83,62.02,4.1,0
75.67,21.63,18742,18.62,26.14,22566,328467,15.75,19.62,16.59,55.72,5.44,48.3,52.91,8.26,0
38.14,58.5,36724,40.22,4.66,39916,1162,9.68,12.81,3.18,85.93,2.75,25.72,83.78,1.16,0
9.01,90.36,19749,28.36,10.75,23930,4148,12.87,17.14,3.05,59.44,2.18,52.03,57.74,12.51,0
1.07,71.46,14994,23.39,19.94,17147,5512,7.89,12.84,5,63.79,11.92,44.25,63.15,13.44,0
44.43,54.58,19038,22.26,18.58,22470,2639,10.89,17.1,8.41,61.89,6.51,39.56,61.67,16.75,0
30.92,65.53,31308,42.53,7.13,38058,3037,9.9,13.94,6.92,57.61,2.68,45.87,53.88,3.61,0
0.48,98.32,18514,42.53,5.54,22576,1969,12.76,14.92,1.71,64.29,2.12,82.39,64.78,5.76,0
0.31,89.69,22996,44.83,4.26,32654,2040,9.4,12.35,2.27,58.29,2.85,52.63,54.44,5.61,0
1.26,84.15,14316,29.89,13.97,20606,3500,10.54,15.08,1.19,55.27,3.17,54.1,54.26,15.75,0
45.71,51.71,27256,36.71,7.3,35024,19163,10.59,14.49,9.34,47.91,3.05,58.01,44.16,6.32,0
9.34,87.88,26710,39.84,2.27,33892,1444,16.51,19.26,3.18,59.68,4.81,68.26,57.68,5.45,0
5.44,93.56,19775,38.3,7.68,25419,2924,11.11,13.72,1.26,71.19,1.7,53.59,69,8.63,0
9.59,73.08,28698,30.3,11.75,31796,5947,10.68,14.97,3.75,60.79,8.58,47.58,60.76,4.54,0
0.55,98.83,41372,56.09,3.39,47445,385,4.22,7.39,0.82,91.2,0.54,25.73,86.9,0,0
89.95,7.21,26810,21.24,14.71,33263,12699,14.94,18.73,16.74,34.83,10.74,72.02,27.48,9.13,0
66.34,31.63,26787,24.14,9.47,30950,5720,12.83,19.13,10,49.94,6.29,59.01,49.67,9.26,0
7.67,84.64,25592,43.45,6.9,32424,62058,14.55,17.45,3.97,57.6,3.49,56.17,52.98,4.47,0
23.93,63.14,14555,27.36,12.36,19910,4212,11.85,15.26,4.87,63.71,3.3,54.44,64.59,16.25,0
7.39,89.3,31540,45.59,3.15,37431,4156,8.02,11.22,1.43,76.93,3.27,63.12,75.57,0.86,0
11.48,73.01,30733,32.61,8.57,35361,5739,9.91,12.84,6.12,68.73,5.77,46.49,67,5.96,0
0.12,70.23,15605,19.24,19.16,16656,14609,5.04,9.89,3.07,72.25,29.29,63.69,72.85,16.21,0
4.49,59.96,25147,21.64,16.87,28727,7184,8.69,13.73,4.43,54.23,21.55,56.04,52.54,5.57,0
9.26,65.59,39538,61.29,5.64,47751,1178,8.96,13.51,1.85,65.08,3.48,50.16,62.86,0.83,0
2.72,87.44,23487,38.21,9.77,28649,10482,13.48,15.15,2.64,61.97,4.54,54.25,58.81,5.8,0
15.59,81.67,18095,19.06,11.22,20562,2657,13.93,15.86,4.92,56.69,6.76,58.36,56.62,7.66,0
52.11,47.03,16305,26.07,14.35,20420,3643,9.38,14.76,8.59,48.73,2.94,45.81,49.55,9.89,0
13.95,83.95,25291,35.8,6.72,30251,5332,14.46,17.13,6.16,59.14,2.57,53.2,55.94,11.94,0
3.44,76.87,23460,27.54,9.74,25157,128886,8.69,14.05,3.76,60.32,14.01,43.94,57.62,8.62,0
1.01,90.52,46352,52.89,2.22,53215,643,12.87,17.11,0.74,45.67,3.85,67.15,40.4,1.79,0
1.21,93.83,25422,41.13,5.54,30373,3146,14.96,18.36,2.18,56,2.41,60.97,51.83,4.35,0
2.25,88.1,21301,41.57,9.86,28976,4550,11.55,13.87,2.26,58.7,4.27,54.81,56.59,6.03,0
4.41,91.02,22746,38.39,6.43,28090,6214,9.99,13.03,1.22,65.41,2.27,48.33,65.63,7.11,0
18.69,76.63,64338,61.11,2.1,78338,425,5.01,7.96,1.38,82.54,1.26,29.12,75.01,0.87,0
1.25,93.43,25369,50.06,5.56,34153,18176,10.86,14.79,1.89,56.17,2.61,52.1,50.75,3.07,0
1.43,88.19,21812,40.8,15.74,28542,4856,14.75,18.62,1.99,51.82,5.09,60.11,50.72,4.47,0
7.94,76.92,25576,35.35,8.51,30757,10227,10.08,13.76,2.58,59.81,7.56,47.59,58.18,10.44,0
4.93,93.96,32018,51.77,3.63,38998,1012,10.06,13.03,2.39,55.25,1.51,34.93,53.73,2.57,0
12.96,72.35,32033,64.07,7.62,33968,2963,12.85,16.03,3.34,31.88,6.53,61.87,31.09,8.2,0
2.17,96.3,36332,53.55,2.87,42427,582,10.82,13.01,1.23,69.13,0.76,47.27,61.83,1.2,0
0.04,98.85,24091,51.14,5.88,30546,1204,7.88,10.2,1.39,78.51,0.78,42.31,72.27,2.08,0
0.34,97.34,24604,44.99,7.19,32668,1342,9.58,11.4,2.56,76.62,1.83,44.27,70.06,3.22,0
28.17,66.12,23661,35.1,7.19,30459,14251,10.51,15.13,4.12,55.24,5.55,52.75,52.8,9.56,0
0.81,77.09,28911,36.1,6.5,33063,5149,10.7,13.6,3.57,66.52,7.26,40.11,65.06,8.67,0
46.92,52.36,21881,28.63,12.92,27881,8312,11.76,14.98,10.19,50.64,3.8,50.85,49.32,9.5,0
1.39,95.76,28964,38.95,8.19,33934,2649,12.44,16.58,2.79,71.03,2.69,47.87,68.07,3.51,0
2.48,79.64,28382,38.11,3.75,34952,6813,8.33,11.09,3.96,53.31,8.44,53.02,49.89,7.47,0
1.51,91.18,25236,43.59,7.67,31282,14300,14.36,16.79,3.02,57.36,3.98,51.94,54.7,4.69,0
7.65,88.71,31394,45.39,7.61,38265,3359,10.81,14.65,1.81,74.03,1.72,47.07,68.12,2.7,0
47.04,52.28,24906,32.94,11.81,31048,6266,10.14,14.99,8.81,59.21,4.77,43.04,57.39,9.6,0
0.3,97.8,26826,51.9,7.07,32182,3489,8.32,10.54,1.64,68.6,1.35,44.13,62.46,2.24,0
1,87.99,24402,36.32,17.56,29387,1880,13.78,20.15,2.48,50.81,6.73,59.66,50.34,5.83,0
43.71,54.35,37050,40.69,4.16,40615,1031,8.52,13.52,3.79,72.09,1.34,27.82,65.67,0.86,0
56.66,42.52,13704,17.14,24.31,17832,5405,10.43,16.51,9.32,52.89,7.3,46.72,52.19,16.63,0
28.11,69.61,27239,41.88,4.95,34010,24793,16.19,17.29,8.85,55.54,8.23,74.76,54.4,7.18,0
32.16,64.24,22102,32.48,8.97,26904,9015,16.33,18.45,11.16,43.01,7.96,69.6,42.44,11.14,0
42.37,53.68,18913,32.08,11.62,22601,10591,13.83,17.42,11.17,47.36,9.75,69.77,51.85,15.81,0
7.68,86.25,23835,34.84,5.25,29812,9869,12.11,14.93,1.98,63.19,3.37,53.52,59.16,10.03,0
16.75,80.45,26344,40.82,5.8,31981,19531,11.88,15.27,5.04,64.68,2.16,48.96,59.63,7.7,0
